Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight(kg),Price
Apple,Ultrabook,13.3,2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,71379
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,128GB SSD,Intel HD Graphics 6000,macOS,1.34,47896
HP,Notebook,15.6,1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.86,30636
Apple,Ultrabook,15.4,2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon Pro 455,macOS,1.83,135195
Apple,Ultrabook,13.3,2560x1600,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37,96096
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,500GB HDD,AMD Radeon R5,Windows 10,2.10,21312
Apple,Ultrabook,15.4,2880x1800,Intel Core i7 2.2GHz,16GB,256GB SSD,Intel Iris Pro Graphics,Mac OS X,2.04,114018
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,256GB SSD,Intel HD Graphics 6000,macOS,1.34,61736
Asus,Ultrabook,14.0,1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,Windows 10,1.30,79654
Acer,Ultrabook,14.0,1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.60,41026
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,No OS,1.86,20987
HP,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.86,18381
Apple,Ultrabook,15.4,2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,macOS,1.83,130002
Dell,Notebook,15.6,1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.20,26581
Apple,Ultrabook,12.0,2304x1440,Intel Core M M3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,macOS,0.92,67261
Apple,Ultrabook,13.3,2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37,80908
Dell,Notebook,15.6,1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.20,39694
Apple,Ultrabook,15.4,2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,macOS,1.83,152274
Lenovo,Notebook,15.6,1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.20,26587
Dell,Ultrabook,13.3,1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22,52161
Lenovo,Gaming,15.6,1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.50,53227
